PRISM Time Series Data,,,,,,,
Location:  Lat: 40.1401   Lon: -88.1992   Elev: 725ft,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,
1992-11,8.3,35.5,41.2,46.8,35,0.2,3.16
1992-12,2.44,24.3,30.9,37.6,25.1,0.28,2.19
1993-01,4.32,20.2,27.2,34.3,21.2,0.26,2.01
1993-02,2.23,17.7,26,34.3,18.4,0.25,2.97
1993-03,2.77,28,35.7,43.5,28.5,0.27,3.95
1993-04,5.41,40,49,58,38.8,0.84,7.64
1993-05,1.83,51.4,63.2,75,50,1.18,16.76
1993-06,5.67,60.6,70.5,80.5,59.1,1.12,17.49
1993-07,7.74,67.2,75.9,84.6,67.8,0.47,15.09
1993-08,4.47,65,74.6,84.3,66.1,0.15,15.9
1993-09,8.02,52,61.4,70.9,52.7,0.74,10.67
1993-10,4.03,39.7,51.7,63.6,39.4,0.7,11.25
1993-11,4.29,31,39.3,47.7,31.8,0.22,4.63
1993-12,1.66,24.5,30.3,36.2,24.5,0.23,2.19
1994-01,1.87,11.7,19.2,26.6,14.3,0.13,1.34
1994-02,0.89,16.4,25,33.6,18.9,0.29,2.6
1994-03,1.15,28.7,39,49.4,27.8,0.55,6.74
1994-04,8.66,40.4,51.8,63.2,38.2,0.92,11.54
1994-05,4.21,47.7,59.6,71.5,44.6,1.36,16.26
1994-06,2.35,63.1,74.2,85.4,60,1.97,23.53
1994-07,1.32,62.9,73.9,84.9,63,0.62,20.14
1994-08,3.62,58.9,70.3,81.7,60.5,0.44,17.2
1994-09,3.13,53.8,65.1,76.3,53.2,1.3,17.48
1994-10,2.16,45.3,56.6,68,43.9,1.09,13.02
1994-11,5.82,37.1,46.3,55.5,37.4,0.32,6.42
1994-12,1.7,28.9,36.2,43.5,29.4,0.34,3.46
1995-01,2.36,19.1,25.7,32.3,20.6,0.09,1.69
1995-02,0.44,18.6,28.6,38.5,18.8,0.34,4.15
1995-03,2.93,33.1,42.9,52.7,31,0.99,8.19
1995-04,3.55,38.8,49.5,60.2,37.4,0.7,9.46
1995-05,9.8,50.2,59.4,68.6,49.7,0.57,10.56
1995-06,2.04,61.3,72.8,84.2,59.4,1.28,22.66
1995-07,1.93,65.6,76.6,87.6,64,1.11,23.72
1995-08,5.41,69.3,79.1,88.9,69.1,0.75,20.35
1995-09,0.55,51.3,64,76.6,49.5,1.02,19.16
1995-10,3.71,43.1,55.5,67.8,42,0.82,14.44
1995-11,2.15,26.4,35.5,44.6,26.9,0.36,4.21
1995-12,1.58,18.5,27.1,35.7,19.5,0.34,3.27
1996-01,2.03,14.6,23,31.3,18.1,0.09,1.57
1996-02,1.35,19.9,29.1,38.4,20.6,0.43,3.78
1996-03,1.44,22.8,33.4,44,22.1,0.44,5.57
1996-04,4.54,35.4,47.3,59.3,34.8,0.6,10.12
1996-05,8.18,50.7,60.1,69.4,51.1,0.47,10.73
1996-06,5.38,61,71.2,81.4,60.5,0.83,18.19
1996-07,3.34,61,72.4,83.8,59.6,1.39,20.72
1996-08,1.59,62.9,73.4,83.8,62.9,0.79,18.58
1996-09,3.04,53.3,64.3,75.4,53.7,0.44,15.54
1996-10,1.49,42,54.7,67.4,43.8,0.38,11.96
1996-11,3.99,27.2,34.4,41.7,26.3,0.39,3.59
1996-12,1.36,24.1,30.9,37.7,24.7,0.33,2.3
1997-01,2.35,11.2,19.9,28.5,15,0.14,1.57
1997-02,3.47,26,32.9,39.8,26.5,0.22,2.92
1997-03,2.86,31.6,41.8,52,32.1,0.54,6.68
1997-04,1.02,35.8,47.2,58.6,31.9,0.99,10.65
1997-05,4.8,45.9,57.1,68.2,41.7,1.36,14.14
1997-06,2.61,60.5,70.1,79.6,59.2,0.96,17.23
1997-07,2.83,63.2,74,84.7,64.1,0.65,18.39
1997-08,6.57,60.2,69.8,79.4,62,0.24,13.53
1997-09,3.3,53.8,65.9,78,55.4,0.61,16.59
1997-10,1.92,42.5,54.1,65.7,42.4,0.85,12.94
1997-11,2.42,31,38,45.1,31.9,0.2,3.47
1997-12,1.91,26.7,32.1,37.6,26.6,0.14,2.23
1998-01,2.25,24.9,31.1,37.3,27.3,0.04,1.64
1998-02,1.74,31.8,38.9,46.1,31.6,0.21,4.15
1998-03,5.76,31.7,39,46.4,31.3,0.47,4.89
1998-04,4.53,42.4,52.4,62.4,40.1,0.89,10.19
1998-05,7.68,57.1,66.8,76.5,55.7,1.23,15.32
1998-06,8.46,62,71.3,80.6,60.9,1.12,16.52
1998-07,3.98,64.8,74.3,83.7,64.8,0.64,16.98
1998-08,1.85,65,74.6,84.3,64.7,0.62,17.71
1998-09,1.57,58.8,71.4,84.1,57.4,1.06,23.07
1998-10,3.37,44.4,56.2,68.1,45.6,0.36,11.93
1998-11,2.09,35.3,44.5,53.6,35.5,0.56,6.09
1998-12,1.07,26.2,35.3,44.4,28.2,0.19,3.99
1999-01,3.94,15.2,23.7,32.1,20.1,0.09,1.61
1999-02,3.07,27.3,35.4,43.5,28.4,0.18,3.72
1999-03,1.76,26.9,37,47.1,25.2,0.54,6.51
1999-04,4.64,42.9,52.9,63,45.1,0.12,8.45
1999-05,3.3,53,64.4,75.9,50.4,1.03,17.94
1999-06,5.73,62.5,72.3,82.1,61.8,0.66,17.4
1999-07,3.46,67.3,77.5,87.7,67.3,0.94,19.75
1999-08,4.95,59.5,70.7,82,60.9,0.52,16.99
1999-09,1.76,50.6,65.6,80.6,48.5,1.4,23.98
1999-10,1.92,40.4,53.3,66.3,39,0.94,13.51
1999-11,0.8,35.4,47.6,59.8,34.6,0.79,10.09
1999-12,2.04,23,31.4,39.7,25,0.35,3.04
2000-01,1.42,16.5,25.3,34.1,18.6,0.34,2.7
2000-02,2.12,25.8,34.6,43.4,27.8,0.43,4.17
2000-03,1.75,32.7,44.5,56.3,32.6,0.69,9.1
2000-04,2.56,37.9,50.2,62.4,35.8,0.87,11.59
2000-05,5.49,53.7,64.5,75.2,52.4,0.97,15.06
2000-06,4.56,60.2,70.3,80.4,59,0.92,16.87
2000-07,2.46,62,72.2,82.4,63.8,0.21,15.17
2000-08,3.14,62.3,73.4,84.4,65.3,0.02,16.17
2000-09,4.02,52.5,65.8,79.2,54.4,0.19,18.81
2000-10,2.56,45.7,57.3,68.9,45.6,0.52,13.27
2000-11,3.58,29.9,38.2,46.5,30.9,0.23,4.75
2000-12,1.69,9.1,17.1,25.2,13.1,0.16,1.46
2001-01,1.23,17.2,24.4,31.6,21,0.12,1.41
2001-02,3.63,21.8,30.3,38.9,25.1,0.26,2.45
2001-03,0.71,26.1,35.7,45.3,25.9,0.4,5.39
2001-04,1.36,44.5,56.8,69,42.5,1.42,14.58
2001-05,3.29,52.6,64.6,76.6,49.7,1.46,19.4
2001-06,3.03,58.4,68.9,79.5,58,0.77,17.86
2001-07,3.43,63.5,74.6,85.7,64.4,0.64,19.11
2001-08,4.55,62.5,73.8,85,65,0.35,19.18
2001-09,3.08,51.5,64,76.6,53.1,0.43,17.44
2001-10,6.46,42.7,53.1,63.5,42.9,0.66,10.37
2001-11,1.91,37.5,49.2,60.9,38.8,0.64,9.7
2001-12,2.16,27.4,35.2,42.9,30.4,0.24,2.96
2002-01,2.19,23.3,32.6,42,24.2,0.38,4.62
2002-02,3.33,24.4,33.3,42.2,26.3,0.37,3.84
2002-03,3.19,25.9,35.5,45,29.7,0.15,3.85
2002-04,4.32,41.3,52.2,63.1,43.2,0.55,10.7
2002-05,5.92,47.5,58.1,68.7,48.4,0.49,11.6
2002-06,3.41,63.2,73.9,84.6,61.4,1.26,23.42
2002-07,3.23,67,78,88.9,65.4,1.57,24.09
2002-08,8.42,64.2,74.1,84,65.6,0.51,15.99
2002-09,1.81,56.2,68.7,81.2,57.8,0.58,20.06
2002-10,2.85,41.3,52.1,62.9,42.7,0.29,11.3
2002-11,0.92,30.2,38.9,47.6,31.7,0.33,5.19
2002-12,1.69,22.5,30.7,38.8,22.9,0.35,3.3
2003-01,0.61,11.2,19.8,28.5,12.9,0.33,2.18
2003-02,1.95,16.5,24.5,32.4,19.2,0.17,1.98
2003-03,1.96,30.1,41.4,52.7,33.3,0.24,7.19
2003-04,2.12,41.4,52.9,64.5,39.2,1.08,13.1
2003-05,3.66,50.6,61.1,71.6,50.3,0.67,12.78
2003-06,4.12,56.3,67.2,78.2,55.3,0.66,18
2003-07,9.79,63.2,73.6,84,65.5,0.47,17
2003-08,2.25,63,74,85,64.6,0.54,18.58
2003-09,6.81,51.7,63.9,76,53,0.46,17.17
2003-10,1.44,41,53.3,65.5,43.3,0.23,12.31
2003-11,4.5,35.1,44.5,53.9,39.2,0.22,5.18
2003-12,3.01,25.8,32.7,39.7,27.4,0.29,2.49
2004-01,2.09,16,23.8,31.6,17.9,0.24,2.18
2004-02,0.54,19.6,27.8,36.1,22.6,0.27,2.59
2004-03,6.98,34.1,43.8,53.5,34.8,0.37,6.51
2004-04,1.56,41.7,53.2,64.7,38.7,1.34,13.42
2004-05,4.24,55.1,65.7,76.2,56.3,0.74,15.45
2004-06,5.2,59.3,69.5,79.6,58.6,0.85,17.28
2004-07,5.75,62.4,72,81.5,63.7,0.52,14.6
2004-08,4.27,56.8,67.6,78.3,59.7,0.4,14.1
2004-09,1.45,54.5,67.9,81.3,54.1,0.97,22.74
2004-10,3.81,43.1,54,64.9,44.6,0.47,10.87
2004-11,5.22,37.1,45.2,53.3,38,0.5,5.54
2004-12,2.15,22.2,30.3,38.4,23.6,0.32,2.9
2005-01,6.59,20.1,27.8,35.4,22.5,0.2,1.75
2005-02,2.07,26.1,33.7,41.3,27.8,0.17,2.73
2005-03,1.83,27,36.9,46.8,25.5,0.51,6.36
2005-04,3.95,42.2,54.5,66.9,39.5,1.05,14.82
2005-05,1.03,47.8,60.6,73.3,43.5,1.36,18.69
2005-06,3.17,63.1,74.2,85.3,60.8,1.19,22.98
2005-07,5.26,64.5,75.1,85.8,64.5,0.58,19.43
2005-08,2.75,64.2,74.7,85.1,64.8,0.48,19.24
2005-09,5.4,57.4,70.3,83.1,57,0.7,23.5
2005-10,1.34,43.3,55,66.8,43.2,0.6,13.36
2005-11,3.6,33.3,43.6,54,32.3,0.79,7.43
2005-12,1.9,17.8,24.3,30.8,19.6,0.16,1.45
2006-01,1.89,29.9,37.3,44.7,30.6,0.29,3.31
2006-02,0.67,19.2,30,40.9,18.9,0.43,4.88
2006-03,3.42,30.7,40.2,49.7,31,0.4,5.51
2006-04,4.24,44.2,56.2,68.2,41.3,1.33,14.86
2006-05,2.57,51.2,61.2,71.3,48.2,1.02,15.65
2006-06,1.39,60,71.1,82.2,56.2,1.79,21.97
2006-07,6.8,65.9,75.9,85.9,65.7,0.76,18.15
2006-08,3.33,64.1,73.5,82.9,64.7,0.71,15.89
2006-09,2,52.7,63.6,74.5,52.8,0.77,15.09
2006-10,3.66,40.2,51.4,62.6,38.6,0.81,12.52
2006-11,2.38,34.6,43.8,53,34,0.64,6.52
2006-12,4.94,27.1,34.9,42.7,28.1,0.44,3.03
2007-01,3.23,22.6,29.7,36.8,24,0.27,2.14
2007-02,2.41,10,17.7,25.3,9.9,0.3,1.7
2007-03,2.59,36,46.5,56.9,36.2,0.69,8.49
2007-04,2.53,38.8,49.8,60.8,35,1.28,12.6
2007-05,1.11,55.1,68.1,81,48.1,2.81,25.5
2007-06,5.46,62.1,72.9,83.8,57.6,2.45,23.57
2007-07,4.09,61.1,71.8,82.6,59.9,1.36,19.21
2007-08,1.85,66.9,77.7,88.5,65.1,1.77,24.08
2007-09,1.95,56.7,70.2,83.7,52.5,2.1,26.62
2007-10,3.59,48,59.7,71.5,46.9,1.2,16.43
2007-11,3.78,31.6,41.7,51.9,30.2,0.81,7.09
2007-12,3.17,23.2,29.8,36.4,24.9,0.21,1.89
2008-01,2.32,16.1,25.7,35.3,18.5,0.37,2.58
2008-02,6.4,16.9,24.5,32.1,18.6,0.25,1.86
2008-03,3.19,28.3,37.3,46.4,28.9,0.41,4.87
2008-04,3.14,40.8,51.2,61.7,39.4,0.92,10.81
2008-05,5.97,47.6,57.9,68.3,44.5,1.39,13.74
2008-06,6.29,62.9,73.4,83.9,58.2,2.29,23.31
2008-07,8.89,63.2,73.5,83.8,62.3,1.14,19.34
2008-08,0.83,60.2,71.2,82.2,60.4,1.05,18.07
2008-09,7.68,56.4,67.3,78.2,56.4,1.03,16.86
2008-10,2.8,41.8,54,66.3,40.9,0.66,13.81
2008-11,1.22,30.3,39.7,49.1,30.1,0.51,6.28
2008-12,5.21,17.2,26.2,35.1,20.6,0.33,1.74
2009-01,0.68,10.4,18.7,26.9,11.8,0.28,1.77
2009-02,1.73,19.9,30,40.1,22.9,0.29,3.36
2009-03,2.58,30.6,42.2,53.8,30.3,0.74,8.49
2009-04,6.53,40.6,50.6,60.6,38.6,1.07,10.27
2009-05,6.21,52.2,62.7,73.2,48.9,1.43,15.82
2009-06,6.04,63.3,73.2,83.2,60.3,1.98,20.68
2009-07,5.98,60.5,69.7,78.9,59,1.21,15.85
2009-08,5.91,60.1,70.3,80.5,61.2,0.67,15.81
2009-09,0.82,55.5,65.9,76.3,55,1.01,15.43
2009-10,8.55,41.8,50.2,58.7,41.6,0.57,7.16
2009-11,3.55,36.4,46,55.6,36.6,0.56,7.14
2009-12,3.59,21.5,28.6,35.7,22.2,0.29,2.36
2010-01,1.39,13.3,19.8,26.2,14.7,0.22,1.04
2010-02,1.64,16,23.3,30.7,17.7,0.29,1.7
2010-03,3.03,32.4,42.2,52.1,33,0.33,6.77
2010-04,1.9,44.5,57.7,70.8,41.1,1.36,17.33
2010-05,3.3,53.8,64.2,74.6,51.4,1.44,16.74
2010-06,10.41,65.2,74.8,84.3,65.3,0.92,17.24
2010-07,3.66,66.6,76.6,86.6,66.9,0.62,18.4
2010-08,1.7,64.8,76.3,87.8,65.5,0.62,21.91
2010-09,3.65,54.8,67.4,80.1,53.7,0.9,21.22
2010-10,1.21,41.4,55.8,70.2,38.5,1.06,18.17
2010-11,3.77,30.6,42.4,54.2,31.3,0.53,8.14
2010-12,2.52,14.3,21.5,28.7,17.8,0.19,1.28
2011-01,0.85,14.2,21.9,29.7,16.4,0.27,1.73
2011-02,3.36,20.7,28.5,36.2,22.5,0.35,2.39
2011-03,1.65,31.8,41.1,50.5,30.9,0.66,6.3
2011-04,6.99,41.8,52.3,62.8,41.3,0.49,9.57
2011-05,4.95,52,62,71.9,51.1,0.87,14.11
2011-06,4.11,63.3,73.1,83,61.1,1.57,20.04
2011-07,1.65,69.5,79.7,89.9,68.2,1.59,22.67
2011-08,1.77,61.8,74.1,86.4,61.8,0.99,23.41
2011-09,2.82,52.9,63.9,74.9,51.6,0.93,17.89
2011-10,2.02,41.7,54.7,67.6,40.2,0.66,15.89
2011-11,4.57,36.7,45.6,54.6,37.2,0.5,6.18
2011-12,2.41,28,35.4,42.8,29.6,0.17,2.85
2012-01,3.36,22,31,39.9,22.8,0.4,3.49
2012-02,1.1,25.3,34.2,43.1,26.1,0.33,4.14
2012-03,1.59,42.4,54.7,67,41.1,1.2,14.32
2012-04,2.54,41.8,54.1,66.3,36.3,1.41,14.06
2012-05,2.9,55.8,68.5,81.2,50.1,2.62,24.36
2012-06,1.9,59.6,71.7,83.7,54.9,2.56,25.02
2012-07,0.94,68.4,80.9,93.5,64.9,2.49,33.15
2012-08,5.76,59.9,73.1,86.2,57.9,1.1,27.21
2012-09,5.66,53,64.6,76.2,52.9,0.55,16.2
2012-10,5.36,41.9,52,62.1,41.8,0.56,9.49
2012-11,1.08,30.2,40.4,50.6,30.9,0.56,6.39
2012-12,2.03,29.8,37.1,44.4,31.3,0.32,3.23
2013-01,2.69,19.3,28.3,37.4,21.4,0.34,2.68
2013-02,3.07,21.2,28.9,36.7,21.9,0.29,2.8
2013-03,1.89,26.6,33.8,41,25.2,0.43,3.85
2013-04,7.31,39.5,50,60.6,38,0.78,9.3
2013-05,4.02,54.3,64.9,75.6,51.9,1.56,16.82
2013-06,6.02,61.3,71.5,81.7,59.6,1.6,19.06
2013-07,2.98,63.1,72.4,81.6,62.5,0.9,16.42
2013-08,0.51,61,72.1,83.1,62.3,0.43,18.18
2013-09,0.57,56.2,69.2,82.2,55.9,0.83,22.36
2013-10,3.1,43,54.6,66.1,43.6,0.5,12.36
2013-11,1.66,29.2,38.6,48.1,29.4,0.6,5.12
2013-12,2.16,17.6,26.5,35.4,20.6,0.26,2.39
2014-01,2.02,8.8,18.5,28.3,11.1,0.33,2.01
2014-02,3.14,9.6,18.4,27.1,11,0.39,1.9
2014-03,1.41,22.8,33.4,43.9,23.4,0.46,5.21
2014-04,4.19,40.9,52.7,64.6,37.8,1.23,13.37
2014-05,2.78,53.2,63.6,74,49.3,1.71,17.64
2014-06,8.09,63.6,73.2,82.7,61.5,1.33,18.49
2014-07,8.01,59.8,69.6,79.4,59.4,0.96,15.42
2014-08,3.07,63.8,72.8,81.8,64.5,0.72,13.99
2014-09,3.99,53,64.5,76,53.8,0.79,15.95
2014-10,4.06,44.1,54.1,64.1,44.2,0.67,10.18
2014-11,2.35,24.8,33.9,43,25.3,0.45,4.42
2014-12,1.75,27.7,33.7,39.7,28.3,0.26,2.06
2015-01,1.43,16.1,23.8,31.5,17.9,0.23,1.9
2015-02,1.33,8.5,18.3,28,10.7,0.35,2.08
2015-03,1.78,26.1,36,46,26.8,0.52,5.35
2015-04,3.54,41.7,53.5,65.3,38.6,1.07,12.77
2015-05,5.55,56,66.2,76.5,51.6,1.76,17.94
2015-06,10.21,62.6,71.3,79.9,62.7,0.58,13.74
2015-07,3.41,63.5,72.9,82.3,64.9,0.28,14.34
2015-08,3.72,60.7,71.4,82,61.2,0.69,17.8
2015-09,7.03,58,70,81.9,57.4,0.89,20.79
2015-10,1.04,44.2,56,67.8,41.6,1.23,13.84
2015-11,4.22,35.1,45.6,56.1,36.3,0.55,7.52
2015-12,7.52,34,40.8,47.5,35.1,0.32,3.11
2016-01,0.97,18.2,26.1,33.9,19.3,0.42,2.29
2016-02,1.23,24.2,32.7,41.2,24.1,0.45,4.17
2016-03,3.57,36.8,46.8,56.8,36.9,0.65,7.61
2016-04,3.22,40.6,52.2,63.8,39.4,0.93,12.58
2016-05,3.39,51.6,61.7,71.8,48.6,1.12,15.1
2016-06,6.55,62.7,73.9,85.1,60.1,1.53,22.79
2016-07,4.91,65.4,74.3,83.3,66.6,0.39,14.42
2016-08,4.55,66.3,75.3,84.3,67.8,0.22,14.63
2016-09,4.15,60.2,71.2,82.1,59.7,0.75,19.56
2016-10,1.7,48.9,60,71,49.6,0.83,13.1
2016-11,3.24,37.1,47.2,57.3,38.5,0.53,7.6
2016-12,1.52,22.1,28.6,35.1,21.3,0.44,2.25
2017-01,2.82,24,31.6,39.2,26,0.28,2.17
2017-02,0.55,28.1,39.7,51.4,28.9,0.44,6.72
2017-03,2.46,33,42.6,52.2,31.2,0.75,6.84
2017-04,5.36,45.8,56.5,67.2,43.9,1.39,12.94
2017-05,6.64,51.5,61.3,71.1,49.8,1.02,14
2017-06,1.68,61.4,72.9,84.5,55.8,2.37,25.73
2017-07,2.64,65.2,75.4,85.6,65.6,0.81,18.33
2017-08,2.48,59.3,70.5,81.6,60.3,0.58,17.95
2017-09,1.55,56.2,68.9,81.7,55.3,1.11,22.28
2017-10,5.99,47.8,58.2,68.6,46.6,0.61,12.62
2017-11,3.4,31.5,41.6,51.7,31.7,0.54,5.51
2017-12,0.58,20.7,29.6,38.4,19.3,0.54,4.56
2018-01,1.1,12.6,21.6,30.6,15.9,0.23,1.93
2018-02,6.62,21.7,31.4,41,25.3,0.22,2.91
2018-03,3.26,28.3,37.6,46.9,27.1,0.39,5.35
2018-04,2.37,33.5,44.4,55.4,31.5,0.98,8.87
2018-05,2.96,59.4,71.2,82.9,55.9,1.66,22.8
2018-06,10.04,64.6,74.4,84.1,65,0.48,16.92
2018-07,3.97,64.3,74,83.7,65.6,0.31,15.38
2018-08,5.43,64.7,74.3,83.9,66.6,0.16,15.44
2018-09,3.36,59.9,71,82.2,59.8,0.64,20.33
2018-10,2.32,43.5,54.8,66.1,44.6,0.27,11.75
2018-11,3.71,28.6,35.6,42.7,29.9,0.19,3.08
2018-12,2.88,25.5,33.4,41.4,28.5,0.13,2.65
2019-01,3.72,16.6,24.5,32.5,19.2,0.19,1.57
2019-02,1.82,20.8,29.1,37.4,23.3,0.28,2.07
2019-03,4.6,26.4,35.9,45.5,26.4,0.25,4.99
2019-04,3.95,41.1,51.5,61.9,41,0.61,10.23
2019-05,6.53,53.1,62.9,72.6,54.3,0.6,12.77
2019-06,2.91,61.1,71,80.9,59.5,1.39,18.52
2019-07,3,66.5,76.8,87.2,66.8,1,20.44
2019-08,1.85,61.8,72.2,82.6,63.4,0.62,17.29
2019-09,4.44,60,71.1,82.2,62.1,0.49,17.48
2019-10,4.79,43.6,54.7,65.7,44.6,0.58,11.62
2019-11,1.63,25.8,35,44.1,28.5,0.24,4.11
2019-12,1.89,25,34,43,29.5,0.23,3.08
2020-01,4.99,24.8,31.3,37.8,26.9,0.18,2.09
2020-02,2.36,22.8,30.5,38.2,24.2,0.19,2.86
2020-03,3.28,33.6,42.4,51.2,35.7,0.28,5.14
2020-04,5.16,37.1,48.6,60.1,37.2,0.55,10.45
2020-05,5.06,50.3,59.7,69.1,50.3,0.44,11.64
2020-06,7.06,62.3,73.4,84.4,58.8,1.84,23.47
2020-07,5.03,66.3,76.4,86.5,68.2,0.52,18.79
2020-08,1.37,61.4,72,82.7,63.4,0.49,17.39
2020-09,2.28,53.7,65.4,77.1,55.8,0.46,15.44
2020-10,1.9,40.5,52.2,63.9,41,0.72,12.25
2020-11,2.31,34.7,45.8,57,36.1,0.77,8.51
2020-12,1.51,23.9,32.6,41.3,25.6,0.35,3.78
